ID,appUserId,displayName,segment,loyaltyTier,loyaltyPoints,enrolledOn,consentMarketing,homeStore_ID
CUST00044,smart-app-00044,Pablo Sommer,Campus Regular,GOLD,4164,2026-03-26,False,BLN01
CUST00045,smart-app-00045,Lena Schneider,Late Shift,PLATINUM,209,2025-08-11,True,BLN01
CUST00046,smart-app-00046,Felix Hoffmann,Campus Regular,GOLD,4040,2025-07-28,True,HAM01
CUST00047,smart-app-00047,Ingrid Haddad,Fitness Focused,BRONZE,568,2025-08-18,True,BLN01
CUST00048,smart-app-00048,Ida Kern,Occasional,BRONZE,2488,2025-02-19,True,WDF01
CUST00049,smart-app-00049,Noah Haddad,Late Shift,BRONZE,2986,2025-10-03,False,BLN01
CUST00050,smart-app-00050,Ida Iyer,Late Shift,SILVER,1433,2026-06-12,True,HAM01
CUST00051,smart-app-00051,Yara Becker,Occasional,BRONZE,954,2026-01-09,True,STR01
CUST00052,smart-app-00052,Nora Fischer,Early Commuter,SILVER,1264,2025-08-06,False,STR01
CUST00053,smart-app-00053,Felix Bauer,Fitness Focused,BRONZE,1398,2025-02-28,True,HAM01
CUST00054,smart-app-00054,Ingrid Kern,Lunch Crowd,SILVER,4720,2026-05-02,True,MUC01
CUST00055,smart-app-00055,Jan Weber,Fitness Focused,SILVER,3328,2025-08-16,True,MUC01
CUST00056,smart-app-00056,Chen Kern,Fitness Focused,SILVER,1254,2026-04-27,True,WDF02
CUST00057,smart-app-00057,Jan Sommer,Campus Regular,SILVER,2656,2025-10-15,False,MUC01
CUST00058,smart-app-00058,Pablo Hoffmann,Late Shift,BRONZE,3246,2025-10-28,True,BLN01
CUST00059,smart-app-00059,Daniel Moreau,Fitness Focused,SILVER,3674,2025-06-24,False,BLN01
CUST00060,smart-app-00060,Daniel Roth,Campus Regular,GOLD,2993,2025-08-09,True,HAM01
CUST00061,smart-app-00061,Emilia Iyer,Lunch Crowd,SILVER,2001,2025-01-24,False,MUC01
CUST00062,smart-app-00062,Sven Meyer,Campus Regular,PLATINUM,4057,2025-11-09,False,WDF01
CUST00063,smart-app-00063,Clara Weber,Occasional,BRONZE,1062,2026-06-13,False,WDF02
CUST00064,smart-app-00064,Ingrid Bauer,Lunch Crowd,BRONZE,4254,2025-06-01,True,HAM01
CUST00065,smart-app-00065,Marta Lindqvist,Early Commuter,SILVER,2143,2025-11-14,False,BLN01
CUST00066,smart-app-00066,Anja Roth,Lunch Crowd,GOLD,3851,2026-06-25,False,STR01
CUST00067,smart-app-00067,Noah Nakamura,Campus Regular,SILVER,309,2025-08-24,True,WDF01
CUST00068,smart-app-00068,Felix Nakamura,Lunch Crowd,BRONZE,3467,2025-04-07,True,STR01
CUST00069,smart-app-00069,Sven Novak,Occasional,GOLD,4422,2025-03-28,False,BLN01
CUST00070,smart-app-00070,Aaron Novak,Campus Regular,GOLD,271,2025-09-27,True,STR01
CUST00071,smart-app-00071,Ravi Krause,Late Shift,GOLD,1305,2025-09-08,True,MUC01
CUST00072,smart-app-00072,Nora Brandt,Fitness Focused,SILVER,2936,2025-07-13,False,WDF01
CUST00073,smart-app-00073,Daniel Lindqvist,Fitness Focused,BRONZE,3155,2025-12-09,True,WDF02
CUST00074,smart-app-00074,Chen Fischer,Campus Regular,BRONZE,2856,2025-10-31,True,BLN01
CUST00075,smart-app-00075,Daniel Moreau,Lunch Crowd,BRONZE,2155,2025-06-11,False,MUC01
CUST00076,smart-app-00076,Lena Nakamura,Early Commuter,SILVER,4792,2025-04-07,True,WDF02
CUST00077,smart-app-00077,Elias Lindqvist,Early Commuter,BRONZE,4348,2026-03-27,False,BLN01
CUST00078,smart-app-00078,Tobias Roth,Fitness Focused,SILVER,4429,2026-05-01,False,MUC01
CUST00079,smart-app-00079,Tobias Krause,Early Commuter,SILVER,2604,2026-01-11,True,STR01
CUST00080,smart-app-00080,Nora Moreau,Fitness Focused,SILVER,5,2026-05-28,False,WDF01
CUST00081,smart-app-00081,Jan Schneider,Late Shift,BRONZE,1331,2025-07-05,False,STR01
CUST00082,smart-app-00082,Felix Iyer,Late Shift,PLATINUM,124,2025-03-09,True,HAM01
CUST00083,smart-app-00083,Milan Nakamura,Occasional,PLATINUM,3639,2025-11-10,True,BLN01
CUST00084,smart-app-00084,Milan Vogel,Late Shift,SILVER,822,2025-04-07,False,WDF02
CUST00085,smart-app-00085,Priya Schneider,Lunch Crowd,SILVER,2935,2025-01-15,True,MUC01
CUST00086,smart-app-00086,Ingrid Weber,Late Shift,PLATINUM,1978,2026-04-17,False,HAM01
CUST00087,smart-app-00087,Anja Weber,Early Commuter,BRONZE,3664,2025-02-22,False,WDF01
CUST00088,smart-app-00088,Anja Haddad,Early Commuter,BRONZE,3413,2025-02-17,True,BLN01
CUST00089,smart-app-00089,Ingrid Roth,Occasional,BRONZE,2897,2026-06-16,False,MUC01
CUST00090,smart-app-00090,Ida Roth,Late Shift,BRONZE,4000,2025-02-14,False,STR01
CUST00091,smart-app-00091,Milan Krause,Early Commuter,GOLD,1500,2025-11-30,False,WDF02
CUST00092,smart-app-00092,Sven Iyer,Late Shift,GOLD,4782,2025-09-29,False,STR01
CUST00093,smart-app-00093,Hanna Haddad,Lunch Crowd,SILVER,284,2025-10-13,True,WDF01
CUST00094,smart-app-00094,Jan Novak,Early Commuter,BRONZE,3912,2025-01-13,False,WDF02
CUST00095,smart-app-00095,Ingrid Vogel,Campus Regular,BRONZE,3678,2025-08-20,True,STR01
CUST00096,smart-app-00096,Elias Vogel,Occasional,BRONZE,2304,2026-06-25,False,MUC01
CUST00097,smart-app-00097,Omar Vogel,Campus Regular,SILVER,3000,2026-01-15,True,HAM01
CUST00098,smart-app-00098,Sven Lindqvist,Lunch Crowd,SILVER,3261,2025-02-06,True,WDF02
CUST00099,smart-app-00099,Lukas Schneider,Lunch Crowd,BRONZE,4733,2025-06-06,True,WDF02
CUST00100,smart-app-00100,Daniel Novak,Early Commuter,GOLD,1519,2026-02-12,True,WDF01
CUST00101,smart-app-00101,Milan Novak,Late Shift,BRONZE,4415,2025-09-14,True,MUC01
CUST00102,smart-app-00102,Clara Becker,Campus Regular,SILVER,3967,2025-01-19,True,HAM01
CUST00103,smart-app-00103,Noah Wagner,Early Commuter,BRONZE,4392,2025-07-18,True,WDF02
CUST00104,smart-app-00104,Lukas Roth,Late Shift,BRONZE,3897,2025-02-23,False,HAM01
CUST00105,smart-app-00105,Emilia Schulz,Early Commuter,SILVER,3038,2026-02-19,False,HAM01
CUST00106,smart-app-00106,Felix Brandt,Campus Regular,BRONZE,3113,2026-04-07,True,BLN01
CUST00107,smart-app-00107,Aaron Wagner,Early Commuter,BRONZE,2697,2026-03-12,True,STR01
CUST00108,smart-app-00108,Noah Lehmann,Fitness Focused,PLATINUM,1487,2025-12-25,True,WDF01
CUST00109,smart-app-00109,Priya Nakamura,Occasional,BRONZE,4114,2026-02-18,True,BLN01
CUST00110,smart-app-00110,Mira Weber,Lunch Crowd,BRONZE,2173,2025-05-06,True,STR01
CUST00111,smart-app-00111,Jan Lindqvist,Fitness Focused,GOLD,3067,2026-06-13,True,MUC01
CUST00112,smart-app-00112,Yara Bauer,Fitness Focused,SILVER,2929,2026-02-14,False,WDF02
CUST00113,smart-app-00113,Ravi Lindqvist,Early Commuter,BRONZE,907,2026-03-27,True,BLN01
CUST00114,smart-app-00114,Hanna Weber,Occasional,GOLD,3886,2025-06-24,False,WDF01
CUST00115,smart-app-00115,Hanna Moreau,Fitness Focused,GOLD,1501,2025-08-02,False,WDF02
CUST00116,smart-app-00116,Felix Haddad,Campus Regular,BRONZE,2568,2025-11-21,True,HAM01
CUST00117,smart-app-00117,Priya Hoffmann,Lunch Crowd,GOLD,680,2026-02-03,False,HAM01
CUST00118,smart-app-00118,Fatima Becker,Late Shift,BRONZE,4129,2026-03-18,False,MUC01
CUST00119,smart-app-00119,Felix Nakamura,Lunch Crowd,BRONZE,3286,2026-04-27,False,STR01
CUST00120,smart-app-00120,Elias Sommer,Occasional,SILVER,2942,2026-04-19,True,WDF01
CUST00121,smart-app-00121,Pablo Bauer,Campus Regular,BRONZE,2209,2026-04-05,True,BLN01
CUST00122,smart-app-00122,Pablo Schneider,Campus Regular,SILVER,3033,2025-03-29,True,WDF02
CUST00123,smart-app-00123,Sven Krause,Early Commuter,BRONZE,2286,2026-01-02,True,WDF02
CUST00124,smart-app-00124,Emilia Kern,Occasional,BRONZE,18,2025-07-03,False,MUC01
CUST00125,smart-app-00125,Lukas Kern,Campus Regular,SILVER,1922,2026-01-23,True,STR01
CUST00126,smart-app-00126,Elias Nakamura,Early Commuter,BRONZE,2758,2026-02-12,False,WDF02
CUST00127,smart-app-00127,Elias Moreau,Early Commuter,PLATINUM,3096,2025-12-10,True,WDF01
CUST00128,smart-app-00128,Ida Meyer,Lunch Crowd,BRONZE,1850,2026-03-24,True,WDF01
CUST00129,smart-app-00129,Felix Vogel,Early Commuter,PLATINUM,242,2025-11-25,False,BLN01
CUST00130,smart-app-00130,Jan Roth,Fitness Focused,BRONZE,2529,2025-05-03,True,STR01
CUST00131,smart-app-00131,Ravi Sommer,Occasional,GOLD,1429,2025-07-27,True,WDF01
CUST00132,smart-app-00132,Jan Vogel,Occasional,GOLD,3045,2026-01-29,True,STR01
CUST00133,smart-app-00133,Ingrid Krause,Early Commuter,SILVER,3403,2026-06-18,True,STR01
CUST00134,smart-app-00134,Chen Weber,Occasional,SILVER,935,2025-05-10,True,HAM01
CUST00135,smart-app-00135,Lukas Novak,Occasional,BRONZE,2013,2026-01-21,True,STR01
CUST00136,smart-app-00136,Ingrid Kern,Occasional,BRONZE,1267,2025-04-18,True,WDF02
CUST00137,smart-app-00137,Jonas Sommer,Late Shift,GOLD,3918,2026-01-11,False,WDF01
CUST00138,smart-app-00138,Milan Haddad,Early Commuter,BRONZE,1988,2025-07-04,False,WDF01
CUST00139,smart-app-00139,Sofia Hoffmann,Campus Regular,SILVER,3014,2025-09-18,True,MUC01
CUST00140,smart-app-00140,Lena Schneider,Occasional,BRONZE,2532,2025-08-22,False,WDF01
CUST00141,smart-app-00141,Milan Schulz,Late Shift,BRONZE,4372,2025-05-20,True,HAM01
CUST00142,smart-app-00142,Chen Hoffmann,Occasional,BRONZE,2508,2025-01-29,True,WDF02
CUST00143,smart-app-00143,Ida Haddad,Fitness Focused,GOLD,4754,2025-04-23,False,HAM01
CUST00144,smart-app-00144,Ingrid Schneider,Campus Regular,SILVER,3280,2026-01-28,True,BLN01
CUST00145,smart-app-00145,Pablo Wagner,Late Shift,BRONZE,2052,2025-10-15,True,WDF01
CUST00146,smart-app-00146,Milan Roth,Fitness Focused,SILVER,44,2026-01-25,True,MUC01
CUST00147,smart-app-00147,Yuki Novak,Campus Regular,SILVER,2630,2025-08-28,True,STR01
CUST00148,smart-app-00148,Emilia Iyer,Lunch Crowd,GOLD,169,2025-02-14,False,MUC01
CUST00149,smart-app-00149,Milan Nakamura,Occasional,BRONZE,680,2025-08-24,False,MUC01
CUST00150,smart-app-00150,Ingrid Sommer,Campus Regular,BRONZE,261,2025-03-23,True,STR01
CUST00151,smart-app-00151,Sven Nakamura,Occasional,BRONZE,4746,2026-05-29,True,MUC01
CUST00152,smart-app-00152,Fatima Vogel,Late Shift,GOLD,617,2026-06-14,True,WDF01
CUST00153,smart-app-00153,Jan Krause,Fitness Focused,GOLD,2914,2026-04-22,True,BLN01
CUST00154,smart-app-00154,Anja Krause,Occasional,SILVER,2764,2025-11-25,True,STR01
CUST00155,smart-app-00155,Lena Becker,Late Shift,SILVER,3685,2026-03-06,False,BLN01
CUST00156,smart-app-00156,Sofia Meyer,Occasional,BRONZE,4420,2025-06-13,True,STR01
CUST00157,smart-app-00157,Pablo Becker,Lunch Crowd,BRONZE,3753,2026-06-18,False,WDF01
CUST00158,smart-app-00158,Nora Bauer,Fitness Focused,SILVER,4598,2026-05-05,True,WDF02
CUST00159,smart-app-00159,Milan Brandt,Campus Regular,BRONZE,1132,2025-05-04,True,WDF02
CUST00160,smart-app-00160,Tobias Iyer,Campus Regular,BRONZE,3265,2025-12-11,True,MUC01
CUST00161,smart-app-00161,Emilia Krause,Late Shift,SILVER,2253,2025-10-08,False,HAM01
CUST00162,smart-app-00162,Sven Moreau,Early Commuter,BRONZE,2782,2026-05-14,False,MUC01
CUST00163,smart-app-00163,Ingrid Hoffmann,Early Commuter,BRONZE,519,2025-03-07,True,WDF02
CUST00164,smart-app-00164,Priya Wagner,Late Shift,BRONZE,2886,2026-05-04,True,STR01
CUST00165,smart-app-00165,Elias Nakamura,Fitness Focused,BRONZE,1345,2025-07-19,False,WDF02
CUST00166,smart-app-00166,Lukas Schulz,Fitness Focused,BRONZE,2383,2026-01-15,False,STR01
CUST00167,smart-app-00167,Tobias Kern,Late Shift,SILVER,892,2025-08-19,True,HAM01
CUST00168,smart-app-00168,Aaron Krause,Occasional,SILVER,4197,2025-12-01,False,BLN01
CUST00169,smart-app-00169,Elias Becker,Occasional,GOLD,3884,2025-05-31,False,WDF01
CUST00170,smart-app-00170,Sven Lindqvist,Occasional,BRONZE,1069,2025-04-05,True,WDF02
CUST00171,smart-app-00171,Ingrid Meyer,Fitness Focused,BRONZE,4021,2025-02-06,True,MUC01
CUST00172,smart-app-00172,Tobias Meyer,Lunch Crowd,SILVER,2129,2025-11-11,True,STR01
CUST00173,smart-app-00173,Priya Lindqvist,Occasional,BRONZE,3104,2026-05-27,False,MUC01
CUST00174,smart-app-00174,Priya Lindqvist,Early Commuter,BRONZE,781,2026-04-12,True,STR01
CUST00175,smart-app-00175,Noah Schulz,Late Shift,BRONZE,2589,2025-06-29,True,MUC01
CUST00176,smart-app-00176,Daniel Novak,Lunch Crowd,SILVER,3902,2025-03-12,True,WDF01
CUST00177,smart-app-00177,Felix Weber,Fitness Focused,BRONZE,252,2025-01-03,True,MUC01
CUST00178,smart-app-00178,Jonas Wagner,Campus Regular,BRONZE,136,2025-04-23,True,MUC01
CUST00179,smart-app-00179,Jan Fischer,Late Shift,SILVER,4655,2025-03-12,True,WDF02
CUST00180,smart-app-00180,Jan Meyer,Lunch Crowd,SILVER,1635,2025-10-31,True,STR01
CUST00181,smart-app-00181,Hanna Weber,Occasional,SILVER,1824,2025-12-25,False,BLN01
CUST00182,smart-app-00182,Yara Brandt,Lunch Crowd,BRONZE,959,2025-01-08,True,MUC01
CUST00183,smart-app-00183,Pablo Schulz,Campus Regular,SILVER,907,2026-05-08,True,MUC01
CUST00184,smart-app-00184,Sven Iyer,Fitness Focused,BRONZE,1843,2025-01-28,True,WDF01
CUST00185,smart-app-00185,Ravi Vogel,Fitness Focused,GOLD,2105,2025-07-16,True,BLN01
CUST00186,smart-app-00186,Noah Fischer,Campus Regular,PLATINUM,504,2026-01-09,True,STR01
CUST00187,smart-app-00187,Fatima Hoffmann,Campus Regular,BRONZE,365,2025-02-05,True,BLN01
CUST00188,smart-app-00188,Jan Sommer,Lunch Crowd,GOLD,3244,2025-09-20,True,BLN01
CUST00189,smart-app-00189,Omar Wagner,Occasional,GOLD,1202,2026-04-25,True,WDF01
CUST00190,smart-app-00190,Fatima Meyer,Early Commuter,BRONZE,2488,2025-04-24,True,MUC01
CUST00191,smart-app-00191,Sofia Bauer,Early Commuter,BRONZE,2095,2025-12-24,False,MUC01
CUST00192,smart-app-00192,Sven Fischer,Lunch Crowd,PLATINUM,486,2025-02-01,True,WDF01
CUST00193,smart-app-00193,Daniel Bauer,Early Commuter,BRONZE,1148,2025-01-04,True,WDF01
CUST00194,smart-app-00194,Milan Becker,Late Shift,BRONZE,282,2026-02-14,True,WDF01
CUST00195,smart-app-00195,Clara Wagner,Late Shift,SILVER,3600,2025-09-23,True,STR01
CUST00196,smart-app-00196,Hanna Nakamura,Lunch Crowd,SILVER,3512,2025-07-29,True,HAM01
CUST00197,smart-app-00197,Sven Krause,Fitness Focused,BRONZE,226,2025-05-27,True,WDF01
CUST00198,smart-app-00198,Emilia Sommer,Early Commuter,PLATINUM,2172,2025-03-26,True,STR01
CUST00199,smart-app-00199,Aaron Iyer,Campus Regular,SILVER,4462,2025-05-14,True,STR01
CUST00200,smart-app-00200,Clara Lindqvist,Early Commuter,BRONZE,2372,2026-03-11,True,STR01
CUST00201,smart-app-00201,Priya Brandt,Fitness Focused,SILVER,3904,2025-01-06,False,WDF02
CUST00202,smart-app-00202,Jonas Becker,Occasional,BRONZE,1374,2026-06-19,True,HAM01
CUST00203,smart-app-00203,Jonas Weber,Fitness Focused,SILVER,3612,2025-10-21,True,WDF02
CUST00204,smart-app-00204,Yara Roth,Late Shift,GOLD,3211,2025-09-03,False,HAM01
CUST00205,smart-app-00205,Mira Moreau,Campus Regular,SILVER,2886,2026-04-20,False,MUC01
CUST00206,smart-app-00206,Sofia Iyer,Early Commuter,BRONZE,3244,2025-03-09,True,BLN01
CUST00207,smart-app-00207,Sven Moreau,Fitness Focused,BRONZE,2582,2025-03-23,True,HAM01
CUST00208,smart-app-00208,Tobias Lehmann,Lunch Crowd,GOLD,1357,2025-06-25,False,HAM01
CUST00209,smart-app-00209,Omar Meyer,Occasional,PLATINUM,829,2025-04-26,True,WDF02
CUST00210,smart-app-00210,Yuki Becker,Fitness Focused,BRONZE,4517,2026-01-24,False,WDF02
CUST00211,smart-app-00211,Mira Novak,Early Commuter,BRONZE,33,2025-06-21,False,WDF02
CUST00212,smart-app-00212,Yuki Haddad,Campus Regular,SILVER,4546,2025-09-25,True,MUC01
CUST00213,smart-app-00213,Fatima Bauer,Early Commuter,BRONZE,222,2025-01-27,False,WDF01
CUST00214,smart-app-00214,Ravi Lindqvist,Fitness Focused,BRONZE,2917,2025-04-30,True,WDF01
CUST00215,smart-app-00215,Sven Iyer,Occasional,BRONZE,3678,2025-02-12,True,HAM01
CUST00216,smart-app-00216,Hanna Haddad,Early Commuter,BRONZE,2722,2026-01-26,True,HAM01
CUST00217,smart-app-00217,Marta Weber,Lunch Crowd,PLATINUM,4721,2025-12-04,True,WDF02
CUST00218,smart-app-00218,Noah Lindqvist,Lunch Crowd,BRONZE,724,2025-10-12,False,WDF01
CUST00219,smart-app-00219,Chen Hoffmann,Fitness Focused,BRONZE,50,2025-03-21,False,HAM01
CUST00220,smart-app-00220,Jan Roth,Campus Regular,BRONZE,4530,2025-09-04,True,MUC01
CUST00221,smart-app-00221,Lena Lehmann,Campus Regular,SILVER,3838,2025-02-15,False,WDF02
CUST00222,smart-app-00222,Ravi Nakamura,Fitness Focused,SILVER,3213,2025-05-11,True,HAM01
CUST00223,smart-app-00223,Ida Kern,Occasional,BRONZE,2887,2025-09-11,True,WDF01
CUST00224,smart-app-00224,Fatima Wagner,Occasional,BRONZE,1954,2026-04-12,True,STR01
CUST00225,smart-app-00225,Tobias Becker,Campus Regular,GOLD,4795,2025-01-06,True,WDF01
CUST00226,smart-app-00226,Clara Schneider,Lunch Crowd,SILVER,1700,2025-01-28,True,WDF01
CUST00227,smart-app-00227,Sven Lindqvist,Occasional,BRONZE,3092,2026-06-20,True,STR01
CUST00228,smart-app-00228,Lukas Meyer,Late Shift,BRONZE,2065,2025-02-11,True,MUC01
CUST00229,smart-app-00229,Yara Meyer,Early Commuter,BRONZE,3531,2025-03-30,False,WDF01
CUST00230,smart-app-00230,Ingrid Sommer,Campus Regular,BRONZE,2937,2025-03-06,False,HAM01
CUST00231,smart-app-00231,Mira Sommer,Fitness Focused,BRONZE,1248,2025-07-20,True,MUC01
CUST00232,smart-app-00232,Mira Moreau,Occasional,BRONZE,2006,2026-06-11,True,WDF02
CUST00233,smart-app-00233,Sven Becker,Early Commuter,BRONZE,4512,2025-07-07,False,BLN01
CUST00234,smart-app-00234,Ravi Schulz,Lunch Crowd,SILVER,2261,2025-10-01,True,HAM01
CUST00235,smart-app-00235,Ida Weber,Fitness Focused,BRONZE,1057,2025-07-27,False,STR01
CUST00236,smart-app-00236,Marta Schneider,Occasional,BRONZE,1923,2026-01-05,True,WDF02
CUST00237,smart-app-00237,Ingrid Roth,Lunch Crowd,GOLD,3700,2025-07-18,False,STR01
CUST00238,smart-app-00238,Daniel Fischer,Fitness Focused,BRONZE,489,2025-07-28,False,STR01
CUST00239,smart-app-00239,Ida Sommer,Fitness Focused,PLATINUM,2964,2026-06-15,True,MUC01
CUST00240,smart-app-00240,Sven Fischer,Early Commuter,BRONZE,2202,2026-06-25,True,BLN01
CUST00241,smart-app-00241,Jan Vogel,Lunch Crowd,GOLD,1287,2025-12-25,True,HAM01
CUST00242,smart-app-00242,Priya Lindqvist,Lunch Crowd,SILVER,520,2026-01-20,True,MUC01
CUST00243,smart-app-00243,Ravi Becker,Lunch Crowd,BRONZE,4331,2026-02-18,True,STR01
CUST00244,smart-app-00244,Anja Sommer,Lunch Crowd,BRONZE,297,2025-09-14,True,STR01
CUST00245,smart-app-00245,Daniel Vogel,Early Commuter,BRONZE,1305,2025-06-27,True,WDF01
CUST00246,smart-app-00246,Felix Becker,Fitness Focused,SILVER,3775,2026-05-20,True,HAM01
CUST00247,smart-app-00247,Elias Fischer,Late Shift,BRONZE,4114,2025-10-19,True,STR01
CUST00248,smart-app-00248,Yuki Lehmann,Fitness Focused,SILVER,1666,2025-07-24,True,WDF02
CUST00249,smart-app-00249,Lukas Fischer,Occasional,SILVER,374,2025-02-07,True,BLN01
CUST00250,smart-app-00250,Anja Lindqvist,Campus Regular,GOLD,3893,2025-09-11,True,MUC01
CUST00251,smart-app-00251,Priya Lindqvist,Fitness Focused,PLATINUM,3424,2026-05-18,True,WDF02
CUST00252,smart-app-00252,Sofia Roth,Lunch Crowd,GOLD,4061,2026-03-01,False,MUC01
CUST00253,smart-app-00253,Lena Bauer,Occasional,GOLD,2631,2025-08-28,True,STR01
CUST00254,smart-app-00254,Noah Lehmann,Early Commuter,BRONZE,2724,2025-03-02,True,WDF02
CUST00255,smart-app-00255,Sven Haddad,Late Shift,SILVER,925,2025-07-25,True,HAM01
CUST00256,smart-app-00256,Yuki Krause,Campus Regular,SILVER,2481,2026-04-12,True,MUC01
CUST00257,smart-app-00257,Sven Schulz,Fitness Focused,SILVER,486,2025-07-25,True,HAM01
CUST00258,smart-app-00258,Mira Schulz,Fitness Focused,SILVER,2502,2026-03-09,True,WDF01
CUST00259,smart-app-00259,Daniel Fischer,Late Shift,SILVER,2837,2025-12-08,True,MUC01
CUST00260,smart-app-00260,Clara Meyer,Early Commuter,SILVER,927,2025-05-29,True,STR01
CUST00261,smart-app-00261,Aaron Vogel,Fitness Focused,SILVER,4425,2025-06-07,True,STR01
CUST00262,smart-app-00262,Fatima Brandt,Campus Regular,BRONZE,4060,2025-02-28,True,HAM01
CUST00263,smart-app-00263,Sven Fischer,Fitness Focused,BRONZE,686,2025-05-31,False,MUC01
CUST00264,smart-app-00264,Daniel Kern,Lunch Crowd,GOLD,2029,2026-04-18,False,WDF01
CUST00265,smart-app-00265,Omar Brandt,Lunch Crowd,BRONZE,1271,2025-03-21,False,MUC01
CUST00266,smart-app-00266,Noah Becker,Fitness Focused,PLATINUM,1749,2025-03-16,False,WDF01
CUST00267,smart-app-00267,Pablo Kern,Lunch Crowd,SILVER,3472,2026-03-14,False,BLN01
CUST00268,smart-app-00268,Ravi Sommer,Campus Regular,BRONZE,135,2025-09-26,True,WDF02
CUST00269,smart-app-00269,Sven Roth,Late Shift,BRONZE,2386,2026-04-08,True,WDF01
